# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.7841690384235467,3.848259662331291,-0.11824471329228194,0,3.0,-0.35380194406381155,180.0,0.0,0.0
 0.08914341164756084,1.7960888347999278,3.848235062702522,-0.11824471329228194,0.26743023494268253,3.0,-0.35380194406381155,180.0,-6.575353790570349,0.0
 0.12564579469370174,1.8078490817218367,3.848161526913851,-0.35826079601957533,0.3769373840811053,3.0000000000000013,-0.36543806066240664,180.0,-8.822647882707289,0.0
 0.1533686734207437,1.8194510658784224,3.848039449611727,-0.602849993323263,0.46010602026223113,2.999999999999999,-0.37749364932589946,180.0,-10.775144071821515,0.0
 0.17650155595493738,1.8308960739588345,3.8478692254426012,-0.8521101354257236,0.5295046678648122,3.0000000000000013,-0.3899838336077511,180.0,-12.59334523878213,0.0
 0.19667337007435068,1.8421853926522211,3.8476512490529258,-1.1061407547240352,0.5900201102230521,3.0000000000000013,-0.4029241770755539,180.0,-14.34422248055454,0.0
 0.21472260960533568,1.8533203086477315,3.8473859150891503,-1.3650430621613039,0.6441678288160071,2.9999999999999987,-0.41633068147882685,180.0,-16.063993536133445,0.0
 0.2311492132832344,1.8643021086345146,3.847073618197726,-1.6289199174636948,0.6934476398497033,3.0,-0.430219783086513,180.0,-17.775254249700815,1.8783865966720005e-12
 0.2462801290812707,1.8751320793017197,3.846714753025103,-1.8978757928046046,0.7388403872438122,3.0000000000000018,-0.44460834659001475,180.00000000000003,-19.493521612243427,-2.0210013662647558e-12
 0.26034331078160444,1.8858115073384956,3.846309714217733,-2.172016729216967,0.7810299323448133,2.9999999999999942,-0.4595136564543882,180.0,-21.23023881643499,0.0
 0.2735053650758768,1.8963416794339911,3.845858896422067,-2.4514502851992526,0.8205160952276304,2.999999999999996,-0.4749534053606742,180.0,-22.994331956945565,0.0
 0.2858925565008368,1.9067238822773553,3.8453626942845545,-2.736285476839012,0.8576776695025102,2.9999999999999956,-0.49094567917575943,180.0,-24.793088676834618,0.0
 0.2976033697712967,1.916959402557737,3.844821502451648,-3.0266327087313765,0.89281010931389,3.000000000000005,-0.5075089387007928,180.0,-26.63268711451154,0.0
 0.30871644240534946,1.9270495269642856,3.8442357155697975,-3.322603695074944,0.9261493272160484,3.000000000000005,-0.5246619970538259,180.0,-28.518530629439653,2.6865255950338032e-12
 0.31929579794283,1.9369955421861496,3.8436057282854534,-3.624311370010314,0.95788739382849,3.0000000000000053,-0.5424239928062736,180.00000000000003,-30.455468148186178,-2.8144131970084845e-12
 0.32939442506006145,1.946798734912478,3.8429319352450677,-3.9318697865195666,0.9881832751801845,3.0000000000000053,-0.5608143583366311,180.0,-32.447943789587214,0.0
 0.3390568005421067,1.9564603918324204,3.8422147310950896,-4.245394003034856,1.01717040162632,2.9999999999999942,-0.5798527826398188,180.0,-34.500100916204595,0.0
 0.3483207141311471,1.9659817996351248,3.841454510481972,-4.56499995673575,1.0449621423934414,3.0,-0.5995591687535488,180.0,-36.6158557823415,0.0
 0.3572186180351509,1.9753642450097408,3.8406516680521636,-4.8908043228498865,1.0716558541054528,3.0,-0.6199535840092236,180.0,-38.79895015585921,-3.3202829354779798e-12
 0.3657786443891437,1.9846090146454174,3.8398065984521166,-5.2229243586912935,1.0973359331674313,3.000000000000013,-0.6410562046414515,179.99999999999997,-41.05298903991309,3.4464170750367188e-12
 0.3740253855152453,1.993717395231303,3.838919696328282,-5.561477731756143,1.122076156545736,3.0,-0.6628872515873128,180.0,-43.38146742848779,0.0
 0.3819805013587487,2.0026906734565473,3.8379913563271097,-5.906582330610934,1.1459415040762464,3.000000000000007,-0.6854669193441443,180.0,-45.7877888212258,0.0
 0.38966319877815353,2.0115301360102986,3.8370219730950508,-6.258356057628018,1.168989596334461,3.0000000000000218,-0.708815295445332,180.0,-48.27527732525202,0.0
 0.3970906143150925,2.0202370695817065,3.8360119412785565,-6.6169166024836334,1.191271842945278,3.0000000000000075,-0.7329522708414945,180.0,-50.84718462294603,3.954319884828933e-12
 0.4042781232314668,2.02881276085992,3.834961655524077,-6.982381195333586,1.2128343696944008,3.0000000000000075,-0.7578974406179627,180.00000000000003,-53.506692689452514,-4.0827176603342086e-12
 0.4112395914972095,2.037258496534087,3.833871510478064,-7.354866338496058,1.233718774491629,2.999999999999984,-0.7836699936072193,180.0,-56.256912915266206,-4.211876809143721e-12
 0.41798758312144274,2.045575563293357,3.8327419007869676,-7.734487515653493,1.2539627493643286,3.0,-0.8102885911730677,179.99999999999997,-59.100882043241015,0.0
 0.42453353215485534,2.05376524782688,3.8315732210972393,-8.12135887733828,1.2736005964645662,2.9999999999999747,-0.8377712341531848,179.99999999999997,-62.04155527334032,8.94558534934054e-12
 0.430887886469411,2.061828836823804,3.8303658660553292,-8.515592901771173,1.2926636594082332,3.0,-0.866135117020253,180.00000000000003,-65.08179670792794,-4.6046878085495415e-12
 0.4370602287892602,2.0697676169732775,3.829120230307688,-8.91730002984334,1.3111806863677808,3.0,-0.8953964693872508,180.0,-68.22436733125062,0.0
 0.4430593792326209,2.0775828749644503,3.827836708500768,-9.326588273366614,1.329178137697863,3.000000000000028,-0.9255703837770263,180.0,-71.47191060091401,0.0
 0.4488934827110233,2.0852758974864716,3.826515695281018,-9.743562795611473,1.3466804481330703,3.0,-0.9566706295986511,180.0,-74.82693570841354,0.0
